Animal,Day,Outcome,Side,SpikeCount,Duration
149,D1,1,0,0,31.9488
149,D1,1,1,2,32.187733333334
149,D1,0,1,2,33.223111111111
149,D1,1,0,10,35.054933333334
149,D1,1,1,0,31.681422222222
149,D1,0,1,5,34.4576
149,D1,0,1,4,34.2016
149,D1,1,0,0,36.514133333333
149,D1,0,0,0,31.35488
149,D1,1,1,0,29.038933333333
149,D1,1,0,12,45.033244444444
149,D1,1,1,0,31.650133333334
149,D1,1,0,4,31.5733333333339
149,D1,0,0,2,33.962666666666
149,D1,1,1,0,31.6074666666671
149,D1,1,0,0,33.006933333334
149,D1,1,1,0,35.771733333337
149,D1,1,0,0,32.2218666666599
149,D1,0,0,2,30.1010488888901
149,D1,1,1,5,28.4899555555601
149,D2,0,0,4,26.8970666666667
149,D2,1,1,0,30.3104000000003
149,D2,0,1,0,35.7376
149,D2,1,0,0,44.0064
149,D2,1,1,2,30.346808888889
149,D2,1,0,0,31.853226666666
149,D2,0,0,0,41.704106666667
149,D2,1,1,0,23.466666666667
149,D2,1,0,0,33.439288888888
149,D2,0,0,0,33.4848000000001
149,D2,1,1,0,25.040213333334
149,D2,1,0,0,31.8873600000001
149,D2,1,1,0,33.962666666667
149,D2,0,1,2,32.3925333333331
149,D2,1,0,0,30.870186666667
149,D2,1,1,5,26.3210666666699
149,D2,1,0,2,32.1052444444499
149,D2,1,1,0,18.6368
149,D2,1,0,0,51.6096
149,D2,1,1,0,40.99413333333
149,D3,0,0,0,27.9665777777778
149,D3,1,1,0,31.86688
149,D3,1,0,3,36.140373333334
149,D3,1,1,8,48.7424
149,D3,1,0,3,31.4368
149,D3,0,0,6,31.0272
149,D3,1,1,16,26.043733333333
149,D3,0,1,2,26.633102222222
149,D3,1,0,3,23.751111111112
149,D3,1,1,0,25.110755555556
149,D3,0,1,0,40.6664533333339
149,D3,1,0,2,30.9248
149,D3,0,0,2,31.391288888889
149,D3,1,1,4,35.495822222223
149,D3,0,1,2,31.715555555553
149,D3,1,0,7,33.0069333333299
149,D3,0,0,5,35.8399999999999
149,D3,1,1,4,29.22951111111
149,D3,1,0,4,33.7237333333301
149,D3,0,0,0,28.8085333333299
149,D4,1,1,0,30.4810666666667
149,D4,0,1,4,34.520177777778
149,D4,1,0,0,35.55328
149,D4,0,0,0,10.40384
149,D4,1,1,7,29.912177777778
149,D4,1,0,2,30.185244444444
149,D4,1,1,0,31.690666666666
149,D4,1,0,0,25.736533333333
149,D4,1,1,0,30.5698133333341
149,D4,1,0,0,32.073955555555
149,D4,1,1,2,28.4671999999999
149,D4,1,0,0,31.9214933333329
149,D4,1,1,0,54.82496
149,D4,1,0,0,21.230933333333
149,D4,1,1,0,24.8092444444401
149,D4,1,0,2,36.69333333333
149,D4,0,0,7,30.7882666666601
149,D4,1,1,0,24.3712
149,D4,0,1,0,10.57450666667
149,D4,1,0,0,32.768
149,D5,1,0,12,32.0512
149,D5,1,1,3,36.693333333333
149,D5,0,1,2,33.553066666667
149,D5,1,0,5,31.812266666667
149,D5,1,1,0,26.766222222223
149,D5,1,0,0,11.537066666667
149,D5,1,1,2,37.193955555556
149,D5,1,0,0,31.9488
149,D5,1,1,0,40.256853333333
149,D5,1,0,0,29.422933333334
149,D5,1,1,2,24.2005333333331
149,D5,1,0,0,30.890666666667
149,D5,0,0,0,18.4092444444441
149,D5,1,1,0,3.04810666666594
149,D5,1,0,2,25.6085333333369
149,D5,1,1,0,24.22328888889
149,D5,1,0,2,38.6048000000001
149,D5,1,1,0,31.6693333333299
149,D5,1,0,0,29.1612444444502
149,D5,1,1,0,33.0833066666701
2443,D1,1,1,0,46.6809289999992
2443,D1,0,1,0,43.5990140000004
2443,D1,0,1,0,46.0010090000005
2443,D1,1,0,0,47.4805179999994
2443,D1,0,0,0,42.6812720000007
2443,D1,1,1,0,38.0011329999998
2443,D1,1,0,2,48.6410179999993
2443,D1,1,1,0,42.8409969999993
2443,D1,1,0,0,62.9981959999996
2443,D1,1,1,0,34.9199140000001
2443,D1,1,0,0,42.3996400000005
2443,D1,1,1,0,35.6015010000001
2443,D1,1,0,0,39.9202849999992
2443,D1,1,1,2,35.2013269999998
2443,D1,1,0,0,35.4792870000001
2443,D1,0,0,23,52.1997380000003
2443,D1,0,0,49,55.0000630000004
2443,D1,1,1,10,37.9183709999998
2443,D1,1,0,0,56.8017799999998
2443,D1,0,0,0,44.2408910000004
2443,D1,1,1,3,37.3185589999994
2443,D2,0,1,0,53.2818589999988
2443,D2,1,0,0,50.0790839999991
2443,D2,1,1,0,39.0414789999995
2443,D2,1,0,0,53.3201659999995
2443,D2,1,1,0,37.3601639999997
2443,D2,1,0,0,51.9610589999993
2443,D2,1,1,0,41.280146000001
2443,D2,1,0,0,59.680022999999
